coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,hl_maker_fee,hl_taker_fee,hl_net_profit,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct,bz_maker_fee,bz_taker_fee,bz_net_profit,arbitrage_net
ORDI,ORDI/USDT:USDT,ORDIUSDT,4.233,4.235,0.002000000000000668,0.04723665564479613,0.00125,0.025,0.05,0,4.234,4.235,0.001000000000000334,0.023615539024686123,0.02,0.04,0,0
BSV,BSV/USDT:USDT,BSVUSDT,17.881,17.889,0.007999999999999119,0.04473022085546055,0.00083691,0.025,0.05,0,17.86,17.87,0.010000000000001563,0.05597537083684054,0.02,0.04,0,0
BLUR,BLUR/USDT:USDT,BLURUSDT,0.029435,0.029448,1.2999999999999123e-05,0.044155358932116646,0.0019224300000000001,0.025,0.05,0,0.02942,0.02943,9.999999999999593e-06,0.033984706881901756,0.02,0.04,0,0
XLM,XLM/USDT:USDT,XLMUSDT,0.22041,0.2205,9.000000000000674e-05,0.04082465809349152,0.00125,0.025,0.05,0,0.22045,0.22046,9.999999999982245e-06,0.004536073121490665,0.02,0.04,0,0
NEAR,NEAR/USDT:USDT,NEARUSDT,1.5684,1.569,0.0005999999999999339,0.038248231019311144,0.01103283,0.025,0.05,0,1.568,1.569,0.0009999999999998899,0.06375518010837679,0.02,0.04,0.0037551801083767905,0
JTO,JTO/USDT:USDT,JTOUSDT,0.39097,0.39111,0.000140000000000029,0.03580196399346077,0.00837974,0.025,0.05,0,0.391,0.3911,9.999999999998899e-05,0.02557217747090883,0.02,0.04,0,0
LDO,LDO/USDT:USDT,LDOUSDT,0.58064,0.58084,0.00019999999999997797,0.0344388194372659,-0.0021748600000000002,0.025,0.05,0,0.5805,0.5806,9.999999999998899e-05,0.017225045215741794,0.02,0.04,0,0
ATOM,ATOM/USDT:USDT,ATOMUSDT,2.0694,2.0701,0.000700000000000145,0.03382050972340355,-0.00826266,0.025,0.05,0,2.07,2.071,0.001000000000000334,0.048297512678113205,0.02,0.04,0,0
KAS,KAS/USDT:USDT,KASUSDT,0.044391,0.044406,1.5000000000001124e-05,0.03378492516639328,0.01605927,0.025,0.05,0,0.0444,0.04441,9.999999999996123e-06,0.02251998648799938,0.02,0.04,0,0
OP,OP/USDT:USDT,OPUSDT,0.27313,0.27322,9.00000000000345e-05,0.0329459137915382,-0.00134177,0.025,0.05,0,0.2732,0.2733,9.999999999998899e-05,0.036596523330279594,0.02,0.04,0,0
